31_1	what is throat cancer?
52_8	what is the largest in the world?
52_9	what new problem did increased scale create?
52_10	describe crude oil washing.
53_1	is red bull bad for you?
53_2	can it kill you?
53_3	how much can you drink in a day?
53_4	what is taurine?
53_5	what are its health effects?
53_6	in general, what are the effects of consuming energy drinks?
53_7	why are they harmful when mixed with alcohol?
53_8	what is the argument for their age restriction to kids?
53_9	where are they banned to minors?
54_1	what is worth seeing in washington d.c.?
54_2	which smithsonian museums are the most popular?
54_3	why is the national air and space museum important?
54_4	is the spy museum free?
54_5	what is there to do in dc after the museums close?
54_6	what is the best time to visit the reflecting pools?
54_7	are there any famous foods?
54_8	what is a dc half smoke?
54_9	tell me about its history.
55_1	describe the oceanic crust.
55_2	what are the main layers?
55_3	how does it differ from the continental crust?
55_4	which is younger and why?
55_5	where is the youngest oceanic found?
55_6	what about the oldest?
55_7	what is seafloor spreading?
55_8	what is its significance?
55_9	how is ocean crust formed?
55_10	is it being recycled?
56_1	what is darwin’s theory in a nutshell?
56_2	how was it developed? 
56_3	how do sexual and asexual reproduction affect it?
56_4	how can fossils be used to understand it?
56_5	what is modern evidence for it? 
56_6	what is the impact on modern biology?
56_7	compare and contrast microevolution and macroevolution.
56_8	what is the relationship to speciation?
57_1	how can you tell if someone is suffering from depression?
57_2	what are common types?
57_3	what causes it?
57_4	what is the role of brain chemicals?
57_5	does a lack of sunlight cause it?
57_6	how can you treat sad?
57_7	what is the role of melatonin?
57_8	how are anxiety and depression related?
57_9	what treatments exist for depression?
57_10	what is cbt and how does it work?
58_1	what is a real-time database?
58_2	how does it differ from traditional ones?
58_3	what are the advantages of real-time processing?
58_4	what are examples of important ones?
58_5	what are important applications?
58_6	what are important cloud options?
58_7	tell me about the firebase db.
58_8	how is it used in mobile apps?
59_1	which weekend sports have the most injuries?
59_2	what are the most common types of injuries? 
59_3	what is the acl?
59_4	what is an injury for it?
59_5	tell me about the rice method.
59_6	is there disagreement about it?
59_7	what is arnica used for?
59_8	what are some ways to avoid injury?
60_1	tell me about the benefits of yoga.
60_2	does it help in reducing stress?
60_3	what are some of the main types?
60_4	what type is best for losing weight?
60_5	what are common poses in bikram yoga?
60_6	why is mindful breathing important?
60_7	does it help relieve asthma?
61_1	who are the avengers?
61_2	tell me about their first appearance.
61_3	who is the most powerful and why? 
61_4	what is the relationship of spider-man to the team?
61_5	why is batman not a member? 
61_6	what is an important team in the dc universe? 
61_7	tell me about the origins of the justice league.
61_8	who are the important members?
61_9	which team came first?
62_1	what is the surrealism movement in art?
62_2	what are its characteristics?
62_3	tell me about its founding.
62_4	tell me about the series of manifestos.
62_5	how is it different from dada?
62_6	what is its importance?
62_7	who are the most famous artists? 
62_8	why did dali choose surrealism?
62_9	what are his most iconic works?
62_10	is it still used today?
62_11	what has its impact been on other fields?
63_1	what is blockchain?
63_2	what problem does it solve?
63_3	how does it work?
63_4	what are the types of networks?
63_5	tell me about its invention.
63_6	how is it related to cryptocurrencies?
63_7	how is bitcoin generated? 
63_8	how secure is blockchain?
63_9	what are its other uses in business?
63_10	what are the implications for society?
64_1	what are the types of pork ribs?
64_2	what are baby backs?
64_3	what are the differences with spareribs?
64_4	what are ways to cook them? 
64_5	how about on the bbq?
64_6	describe the 321 method.
64_7	how long do they take to smoke?
64_8	how do you know when they are done?
64_9	what is in a typical rub?
64_10	what’s the best style of sauce for them? 
64_11	what’s in kansas city style sauce?
65_1	what is nominal gdp?
65_2	why is it not a good measure?
65_3	what is the difference with real?
65_4	how is it related to gross national income?
65_5	what is the meaning of gni?
65_6	how is inflation affected by high gdp growth? 
65_7	what is the relationship between inflation and unemployment?
65_8	what is frictional unemployment and why is it important?
65_9	is it bad for the economy?
65_10	how can the government reduce its level?
66_1	tell me about lavender plants.
66_2	what are the different types?
66_3	what places are famous for them?
66_4	are they safe to eat?
66_5	what variety is best for cooking?
66_6	how is it used? 
66_7	what is it good with?
66_8	what are the health benefits of its oil?
66_9	are there any side effects?
67_1	why is blood red?
67_2	what are red blood cells?
67_3	how are they created?
67_4	how is oxygen transported?
67_5	what is anemia?
67_6	what are the symptoms?
67_7	can it go away?
67_8	what are its possible causes?
67_9	how is it treated?
67_10	what foods contain high levels of iron?
67_11	what improves absorption?
68_1	what is cuisine is emilia-romagna famous for?
68_2	tell me about cooking schools and classes.
68_3	what are famous foods from the region?
68_4	describe the traditional process for making balsamic vinegar?
68_5	what is mortadella and where is it from?
68_6	what’s the difference with bologna?
68_7	where was parmesan cheese created?
68_8	what is done with the whey after production?
68_9	what are typical pasta dishes?
68_10	what is the history of tagliatelle al ragu bolognese?
68_11	what are its common variations?
69_1	how do you sleep after jet lag?
69_2	does melatonin help?
69_3	how was it discovered?
69_4	what are good sources in food?
69_5	is melatonin bad for you?
69_6	what are the side effects?
69_7	why does it require a prescription in the uk?
69_8	how can i increase my levels naturally?
69_9	is it effective for treating insomnia?
69_10	how about for anxiety?
70_1	what is solar energy?
70_2	what are its main uses?
70_3	why is it important?
70_4	what are advantages of solar energy?
70_5	what is the cost of solar power?
70_6	how is being used in rural africa?
70_7	tell me more about solar cookers work.
70_8	how is solar used in architecture?
70_9	what are important projects? 
70_10	can it be used to power cars?
71_1	what are mammals?
71_2	what are their key characteristics?
71_3	how many legs do they have?
71_4	what is the largest one on land?
71_5	what is the largest in the world?
71_6	what about in the uk?
71_7	what about the largest to ever walk the earth?
71_8	tell me about blue whales. 
71_9	how much do they weigh?
71_10	where do they live?
71_11	what do they eat?
71_12	where can we see them?
72_1	what do spanish people do on christmas day?
72_2	what do they eat for dinner?
72_3	how about on christmas eve?
72_4	what is the christmas lottery?
72_5	how does the drawing work?
72_6	how are the tickets sold?
72_7	what is tió de nadal?
72_8	how did this tradition start?
72_9	how do they celebrate three kings day?
72_10	what cakes are traditional?
73_1	who is the most successful pirate of all time?
73_2	who is the most famous female?
73_3	tell me more about ching shih.
73_4	what were her code of laws?
73_5	how did she die?
73_6	who was anne bonny?
73_7	what was she famous for?
73_8	who was she married to?
73_9	how did calico jack die?
73_10	what happened to anne?
74_1	what are the pros and cons of electric cars?
74_2	tell me more about tesla.
74_3	why did elon musk start it?
74_4	what models are available?
74_5	what is the best selling?
74_6	what is unique about the model 3?
74_7	what are the safety features?
74_8	why is it building gigafactories?
74_9	what makes the batteries unique?
74_10	how long can they last?
74_11	tell me more about autopilot.
74_12	does it support full self-driving?
75_1	why do turkey and turkey share the same name?
75_2	where are turkeys from?
75_3	what was their importance in native cultures?
75_4	when and how were they domesticated?
75_5	can they fly?
75_6	why did ben franklin want it to be the national symbol?
75_7	how did he cook it?
75_8	why is it eaten on thanksgiving?
75_9	how did it become traditional for christmas dinner in britain? 
75_10	when did they become popular?
76_1	what are important literary elements?
76_2	what is the difference between them and literary devices?
76_3	what is a genre?
76_4	what are the most important ones?
76_5	what is a trope?
76_6	what are important examples in fantasy?
76_7	what is the definition of allegory?
76_8	what are some important modern uses?
76_9	what are the different types of foreshadowing?
76_10	what is an example?
77_1	what's the difference between soup and stew?
77_2	is chilli a stew?
77_3	how about goulash?
77_4	what are popular ones in france?
77_5	how is cassoulet made?
77_6	tell me about feijoada and its significance.
77_7	how is it similar or different from cassoulet?
77_8	tell about bigos stew.
77_9	why is it important?
77_10	what is the history of irish stew?
78_1	what is the keto diet?
78_2	why was it original developed?
78_3	what is ketosis?
78_4	what is paleo?
78_5	what do they have in common?
78_6	how are they different?
78_7	what is intermittent fasting?
78_8	how is it related to keto?
78_9	what is the 16/8 method?
78_10	what is the best for weight loss?
79_1	what is taught in sociology?
79_2	what is the main contribution of auguste comte?
79_3	what is the role of positivism in it?
79_4	what is herbert spencer known for?
79_5	how is his work related to comte?
79_6	what is the functionalist theory?
79_7	what is its main criticism?
79_8	how does it compare to conflict theory?
79_9	what are modern examples of conflict theory?
80_1	what were the purposes of the lewis and clark expedition?
80_2	what were important plants and animals they discovered?
80_3	what were the diplomatic objectives?
80_4	what were the native american tribes that they encountered?
80_5	how did sacagawea help them?
80_6	did they find the northwest passage?
80_7	what was the purpose of fort mandan?
80_8	how did they spend the next winter?
80_9	what happened to fort clatsop?
80_10	what was the impact of the expedition?
